MU_CODINE;MU_NOMBRE;PM_EJERCICIO;PM_GASTO1;PM_GASTO2;PM_GASTO3;PM_GASTO4;PM_GASTO5;PM_GASTO6;PM_GASTO7;PM_GASTO8;PM_GASTO9;PM_GASTO0;PM_GTOTAL;PM_INGRESO1;PM_INGRESO2;PM_INGRESO3;PM_INGRESO4;PM_INGRESO5;PM_INGRESO6;PM_INGRESO7;PM_INGRESO8;PM_INGRESO9;PM_INGRESO0;PM_ITOTAL;PM_OBSERVACIONES
03005;Albatera;2002;1802356.79;2211275.52;102513.67;179738.49;0.00;4322042.70;0.00;4507.59;129056.48;0.00;8751491.24;1466107.11;452227.24;2109272.11;1263554.82;1490070.47;0.00;1636265.63;4507.59;329486.27;0.00;8751491.24;B.O.P. 119 27/05/2002
03005;Albatera;2003;1963272.41;2043012.86;134599.28;179738.49;0.00;620430.69;0.00;4507.59;104053.71;0.00;5049615.03;1612597.15;572429.66;636435.79;1423336.61;148624.91;138232.78;513450.53;4507.59;0.00;0.00;5049615.02;B.O.P. 85 12/04/2003
03005;Albatera;2004;2217216.43;3079736.51;113381.81;145762.55;0.00;2270296.44;75126.51;4507.59;225854.15;0.00;8131881.99;2343574.68;437985.76;1942163.66;1564802.20;181374.50;0.00;276652.72;4507.59;1380820.88;0.00;8131881.99;B.O.P. 198 27/08/2004
03005;Albatera;2005;2318474.21;3292425.43;132070.86;137944.00;0.00;1410359.09;123207.47;4507.59;210983.68;0.00;7629972.33;2519924.33;705606.47;1836864.73;1652072.66;271774.50;284583.71;354638.34;4507.59;0.00;0.00;7629972.33;B.O.P. 213 17/09/2005
03005;Albatera;2006;2791089.76;3790040.39;137034.08;175947.54;0.00;1247154.35;123126.51;4507.59;204581.44;0.00;8473481.66;2842608.80;919294.91;1469662.74;1876377.40;164780.73;0.00;1196249.49;4507.59;0.00;0.00;8473481.66;B.O.P. 122 30/05/2006
03005;Albatera;2007;2983676.43;4153873.57;140992.87;206674.12;0.00;850569.78;123126.50;4507.59;233609.06;0.00;8697029.92;2656231.14;1550000.00;1586540.74;2281476.27;205065.06;0.00;413209.12;4507.59;0.00;0.00;8697029.92;B.O.P. 34 13/02/2007
03005;Albatera;2008;3056888.85;3761957.71;198013.92;473330.87;0.00;1636466.02;85994.73;9000.00;203403.46;0.00;9425055.56;2711122.74;754320.00;1432651.87;2672597.80;126402.40;0.00;1274186.04;9000.00;444774.71;0.00;9425055.56;B.O.P. 99 26/05/2008
03005;Albatera;2009;3109896.84;3375711.59;217272.23;375112.46;0.00;1029025.86;202013.19;9000.00;225000.00;0.00;8543032.17;2787526.75;330065.66;1293656.53;2765991.78;127752.40;0.00;930525.86;9000.00;298513.19;0.00;8543032.17;B.O.P. 84 07/05/2009
03005;Albatera;2010;3261416.82;3320204.78;168500.00;350386.00;0.00;995608.67;201329.15;9000.00;100000.00;0.00;8406445.42;3006073.55;250000.00;1243688.59;2890197.02;140752.40;0.00;866733.86;9000.00;0.00;0.00;8406445.42;B.O.P. 23 04/02/2010
03005;Albatera;2011;3225631.03;3379152.11;177000.00;347846.00;0.00;878323.28;68312.26;9000.00;99000.00;0.00;8184264.68;3234814.26;200000.00;1139426.26;2689637.90;137402.40;0.00;773983.86;9000.00;0.00;0.00;8184264.68;B.O.P. 248 29/12/2010
